sample_id,evidence_availability,conditional_validity,evidence_relation_error,endpoint_correlation,forward_delivery_success,reverse_delivery_success,visual_record_kib,radio_record_kib,link_rate_mbps,fixed_per_message_latency_ms,processing_time_ms,decision_deadline_ms,visual_initial_age_ms,radio_initial_age_ms,record_ttl_ms,finalizer,interaction,sender_feedback_format,artifact_format,unconditional_coverage,timely_safe_world_coverage,selective_risk,false_safe_rate,harmful_acceptance_probability,expected_evidence_payload_bytes,expected_evidence_payload_kib,mean_safe_world_evidence_traffic_bytes,mean_safe_world_evidence_traffic_kib,p95_action_ready_latency_ms,local_reuse_probability,deadline_caused_abstention_probability,evidence_insufficient_abstention_probability,expired_evidence_abstention_probability,transport_abstention_probability,safe_world_reject_probability,safe_world_abstention_probability,finalization_failure_probability,unconstrained_safe_accept_probability,logical_message_count
39,0.841875,0.970703125,0.14921875,0.1265625,0.992265625,0.9777343749999999,4.375,0.74609375,189.0625,0.90390625,8.515625,30.2734375,22.578125,17.3515625,42.65625,sender,feedback,reference_manifest,reference_manifest,0.4256661335481998,0.5164850808415139,0.017180643443753783,0.03849062140301547,0.0073132180665729015,3841.2111684803813,3.7511827817191223,3999.3285823723636,3.9055943187230113,10.545332376033059,0.14661395958013512,0.0,0.07836958197928613,0.0,0.0040258265493512005,0.40111951062984696,0.08239540852863743,0.0,0.5164850808415139,2
39,0.841875,0.970703125,0.14921875,0.1265625,0.992265625,0.9777343749999999,4.375,0.74609375,189.0625,0.90390625,8.515625,30.2734375,22.578125,17.3515625,42.65625,receiver,one_way,reference_manifest,reference_manifest,0.4261637741857448,0.5173237279804681,0.0167343048695094,0.03753449748192132,0.007131554521565014,4285.452875976555,4.185012574195855,4285.452875976558,4.1850125741958575,9.641426126033057,0.5045228774267269,0.0,0.07526016001008766,0.0,0.003738773250479233,0.4036773387589632,0.07899893326056698,0.0,0.5173237279804681,1
39,0.841875,0.970703125,0.14921875,0.1265625,0.992265625,0.9777343749999999,4.375,0.74609375,189.0625,0.90390625,8.515625,30.2734375,22.578125,17.3515625,42.65625,receiver,feedback,reference_manifest,reference_manifest,0.4261637741857448,0.5173237279804681,0.0167343048695094,0.03753449748192132,0.007131554521565014,1993.9789424699309,1.9472450610057919,1748.0435210621977,1.7070737510373024,10.51300444214876,0.5045228774267269,0.0,0.07526016001008766,0.0,0.003738773250479233,0.4036773387589632,0.07899893326056698,0.0,0.5173237279804681,2
40,0.781875,0.994609375,0.14140625,0.26718749999999997,0.976328125,0.975390625,5.375,1.12109375,85.9375,3.43046875,7.734375,26.3671875,20.828125,10.7109375,48.28125,sender,one_way,reference_manifest,reference_manifest,0.36558388704659783,0.43526224404972,0.03561828031185786,0.06853404929644372,0.013021469366324303,5172.995684179691,5.05175359783173,5172.995684179685,5.051753597831723,11.784084477272728,0.0,0.0,0.3463449637137995,0.0,0.010553289585265682,0.207839502651214,0.35689825329906527,0.0,0.43526224404972,1
40,0.781875,0.994609375,0.14140625,0.26718749999999997,0.976328125,0.975390625,5.375,1.12109375,85.9375,3.43046875,7.734375,26.3671875,20.828125,10.7109375,48.28125,sender,feedback,reference_manifest,reference_manifest,0.3913074671908167,0.4754065956037254,0.015916191930888345,0.032779603956835976,0.006228124751798833,4548.982714030682,4.4423659316705875,4728.023527779926,4.617210476347584,15.214553227272727,0.13454877375697785,0.0,0.1460304805960401,0.0,0.011526622266778334,0.3670363015334548,0.1575571028628184,0.0,0.4754065956037254,2
40,0.781875,0.994609375,0.14140625,0.26718749999999997,0.976328125,0.975390625,5.375,1.12109375,85.9375,3.43046875,7.734375,26.3671875,20.828125,10.7109375,48.28125,receiver,one_way,reference_manifest,reference_manifest,0.3919564802260935,0.4764194486865858,0.015452549187258904,0.03187750942083465,0.006056726789958581,5172.995684179691,5.05175359783173,5172.995684179685,5.051753597831723,11.784084477272728,0.46465922455893954,0.0,0.14583794765271507,0.0,0.010553289585265682,0.3671893140754324,0.15639123723798073,0.0,0.4764194486865858,1
40,0.781875,0.994609375,0.14140625,0.26718749999999997,0.976328125,0.975390625,5.375,1.12109375,85.9375,3.43046875,7.734375,26.3671875,20.828125,10.7109375,48.28125,receiver,feedback,reference_manifest,reference_manifest,0.3919564802260935,0.4764194486865858,0.015452549187258904,0.03187750942083465,0.006056726789958581,2367.1894417970366,2.3117084392549185,2064.800774576144,2.0164070064220154,15.107684863636365,0.46465922455893954,0.0,0.14583794765271507,0.0,0.010553289585265682,0.3671893140754324,0.15639123723798073,0.0,0.4764194486865858,2
41,0.804375,0.981015625,0.10234375,0.2296875,0.977265625,0.996484375,9.125,1.33203125,173.4375,0.13828125000000002,12.265625,40.4296875,10.984375,11.7734375,32.34375,sender,one_way,reference_manifest,reference_manifest,0.4073061131699807,0.4903449632585681,0.02486260972546529,0.05329838384495469,0.010126692930541428,8449.730379492179,8.251689823722831,8449.7303794922,8.251689823722852,12.897824808558559,0.0,0.0,0.34325036601937875,0.0,0.011407017691921272,0.15499765303013402,0.35465738371129996,0.0,0.4903449632585681,1
41,0.804375,0.981015625,0.10234375,0.2296875,0.977265625,0.996484375,9.125,1.33203125,173.4375,0.13828125000000002,12.265625,40.4296875,10.984375,11.7734375,32.34375,sender,feedback,reference_manifest,reference_manifest,0.4689491531926327,0.573283071070731,0.009787554992036143,0.024157187501798193,0.004589865625341674,7678.874322931916,7.498900705988199,8092.42806928394,7.902761786410098,13.036106058558559,0.16271585276129993,0.0,0.128483607763881,0.0,0.013336427666606641,0.2848968934987838,0.14182003543048766,0.0,0.573283071070731,2
41,0.804375,0.981015625,0.10234375,0.2296875,0.977265625,0.996484375,9.125,1.33203125,173.4375,0.13828125000000002,12.265625,40.4296875,10.984375,11.7734375,32.34375,receiver,one_way,reference_manifest,reference_manifest,0.4691666315776597,0.5735756790559562,0.009741382346326882,0.024054376538611817,0.004570331542336262,8449.730379492179,8.251689823722831,8449.7303794922,8.251689823722852,12.897824808558559,0.5599305734315615,0.0,0.13262571850718577,0.0,0.011407017691921272,0.28239158474493925,0.14403273619910706,0.0,0.5735756790559562,1
